spaceIndex,spaceId,spaceSymbol,spaceAddress,proposalId,proposalTitle,proposalBody,proposalChoices,proposalStart,proposalStart.1,proposalEnd,proposalSanpshot,proposalAuth,proposalSpace,voteId,voteVoter,voteCreated,voteChoice,voteSpace
3250,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
3252,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3254,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3256,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3258,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3259,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
3260,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3262,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3264,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
3269,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3271,25,25,25,25,25,23,25,25,25,25,0,25,25,25,25,25,25,0
3274,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3275,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3279,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3280,66,66,66,66,66,60,66,66,66,66,0,66,66,66,66,66,66,0
3282,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0
3283,270,270,270,270,270,270,270,270,270,270,0,270,270,270,270,270,270,0
3285,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3286,498,498,498,498,498,498,498,498,498,498,0,498,498,498,498,498,498,0
3287,117,117,117,117,117,53,117,117,117,117,0,117,117,117,117,117,117,0
3288,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3289,37,37,37,37,37,37,37,37,37,37,0,37,37,37,37,37,37,0
3294,178,178,178,178,178,45,178,178,178,178,0,178,178,178,178,178,178,0
3295,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3297,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3299,634,634,634,634,634,562,634,634,634,634,0,634,634,634,634,634,634,0
3303,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
3304,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3307,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3308,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,18,0
3309,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3310,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3311,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3314,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,0,2387,2387,2387,2387,2387,2387,0
3315,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0
3319,144,144,144,144,144,0,144,144,144,144,0,144,144,144,144,144,144,0
3320,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0
3322,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3323,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3326,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,12,12,0
3327,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3328,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3330,18,18,18,18,18,7,18,18,18,18,0,18,18,18,18,18,18,0
3331,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3332,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,12,12,0
3334,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3338,19,19,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,0
3341,82,82,82,82,82,0,82,82,82,82,0,82,82,82,82,82,82,0
3342,9493,9493,9493,9493,9493,299,9493,9493,9493,9493,0,9493,9493,9493,9493,9493,9493,0
3344,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3345,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3346,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3348,164,164,164,164,164,164,164,164,164,164,0,164,164,164,164,164,164,0
3352,237,237,237,237,237,237,237,237,237,237,0,237,237,237,237,237,237,0
3356,801,801,801,801,801,801,801,801,801,801,0,801,801,801,801,801,801,0
3357,832,832,832,832,832,832,832,832,832,832,0,832,832,832,832,832,832,0
3359,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3361,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3363,3,3,3,3,3,1,3,3,3,3,0,3,3,3,3,3,3,0
3364,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3365,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3367,32,32,32,32,32,7,32,32,32,32,0,32,32,32,32,32,32,0
3368,333,333,333,333,333,281,333,333,333,333,0,333,333,333,333,333,333,0
3370,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3372,15,15,15,15,15,0,15,15,15,15,0,15,15,15,15,15,15,0
3374,73,73,73,73,73,0,73,73,73,73,0,73,73,73,73,73,73,0
3379,8605,8605,8605,8605,8605,8605,8605,8605,8605,8605,0,8605,8605,8605,8605,8605,8605,0
3383,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0
3384,20,20,20,20,20,14,20,20,20,20,0,20,20,20,20,20,20,0
3385,138,138,138,138,138,138,138,138,138,138,0,138,138,138,138,138,138,0
3387,5,5,5,5,5,1,5,5,5,5,0,5,5,5,5,5,5,0
3388,58,58,58,58,58,58,58,58,58,58,0,58,58,58,58,58,58,0
3390,19,19,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,0
3391,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3399,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3400,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3401,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3403,19,19,19,19,19,9,19,19,19,19,0,19,19,19,19,19,19,0
3404,187,187,187,187,187,13,187,187,187,187,0,187,187,187,187,187,187,0
3406,86,86,86,86,86,84,86,86,86,86,0,86,86,86,86,86,86,0
3407,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3409,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3411,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,0
3412,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,0
3413,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
3416,8,8,8,8,8,5,8,8,8,8,0,8,8,8,8,8,8,0
3418,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3419,21,21,21,21,21,11,21,21,21,21,0,21,21,21,21,21,21,0
3420,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3421,25,25,25,25,25,0,25,25,25,25,0,25,25,25,25,25,25,0
3422,19,19,19,19,19,11,19,19,19,19,0,19,19,19,19,19,19,0
3424,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3426,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3427,19,19,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,0
3430,54,54,54,54,54,10,54,54,54,54,0,54,54,54,54,54,54,0
3431,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3433,100,100,100,100,100,25,100,100,100,100,0,100,100,100,100,100,100,0
3436,12266,12266,12266,12266,12266,1068,12266,12266,12266,12266,0,12266,12266,12266,12266,12266,12266,0
3437,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,0
3439,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,12,12,0
3440,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,0
3442,11,11,11,11,11,0,11,11,11,11,0,11,11,11,11,11,11,0
3445,11,11,11,11,11,0,11,11,11,11,0,11,11,11,11,11,11,0
3447,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,0
3449,11,11,11,11,11,0,11,11,11,11,0,11,11,11,11,11,11,0
3450,80,80,80,80,80,80,80,80,80,80,0,80,80,80,80,80,80,0
3451,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3452,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3453,33,33,33,33,33,33,33,33,33,33,0,33,33,33,33,33,33,0
3458,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0
3462,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3466,28,28,28,28,28,28,28,28,28,28,0,28,28,28,28,28,28,0
3467,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,0
3469,27,27,27,27,27,27,27,27,27,27,0,27,27,27,27,27,27,0
3470,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
3472,56,56,56,56,56,47,56,56,56,56,0,56,56,56,56,56,56,0
3473,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3474,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3476,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3481,20,20,20,20,20,10,20,20,20,20,0,20,20,20,20,20,20,0
3482,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3489,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3491,15,15,15,15,15,3,15,15,15,15,0,15,15,15,15,15,15,0
3492,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3493,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0
3497,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,0
3498,130,130,130,130,130,130,130,130,130,130,0,130,130,130,130,130,130,0
3499,189,189,189,189,189,189,189,189,189,189,0,189,189,189,189,189,189,0
3505,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3507,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,0
3517,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0
3518,54,54,54,54,54,54,54,54,54,54,0,54,54,54,54,54,54,0
3520,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3521,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3523,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3526,429,429,429,429,429,308,429,429,429,429,0,429,429,429,429,429,429,0
3527,14,14,14,14,14,14,14,14,14,14,0,14,14,14,14,14,14,0
3530,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3533,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3537,22,22,22,22,22,22,22,22,22,22,0,22,22,22,22,22,22,0
3543,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3545,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3546,7,7,7,7,7,6,7,7,7,7,0,7,7,7,7,7,7,0
3547,53,53,53,53,53,53,53,53,53,53,0,53,53,53,53,53,53,0
3548,79,79,79,79,79,79,79,79,79,79,0,79,79,79,79,79,79,0
3549,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
3550,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3553,59,59,59,59,59,59,59,59,59,59,0,59,59,59,59,59,59,0
3558,57,57,57,57,57,57,57,57,57,57,0,57,57,57,57,57,57,0
3559,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3560,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0
3562,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0
3563,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3565,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,0
3566,135,135,135,135,135,135,135,135,135,135,0,135,135,135,135,135,135,0
3568,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3569,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3570,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,0
3571,1546,1546,1546,1546,1546,1398,1546,1546,1546,1546,0,1546,1546,1546,1546,1546,1546,0
3572,1859,1859,1859,1859,1859,1859,1859,1859,1859,1859,0,1859,1859,1859,1859,1859,1859,0
3583,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,0
3584,42,42,42,42,42,22,42,42,42,42,0,42,42,42,42,42,42,0
3585,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3588,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3596,32,32,32,32,32,32,32,32,32,32,0,32,32,32,32,32,32,0
3598,28,28,28,28,28,28,28,28,28,28,0,28,28,28,28,28,28,0
3599,6,6,6,6,6,4,6,6,6,6,0,6,6,6,6,6,6,0
3600,47,47,47,47,47,47,47,47,47,47,0,47,47,47,47,47,47,0
3603,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,0,1330,1330,1330,1330,1330,1330,0
3607,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3608,21,21,21,21,21,21,21,21,21,21,0,21,21,21,21,21,21,0
3609,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,0,1456,1456,1456,1456,1456,1456,0
3610,15,15,15,15,15,11,15,15,15,15,0,15,15,15,15,15,15,0
3612,24,24,24,24,24,24,24,24,24,24,0,24,24,24,24,24,24,0
3614,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3617,262,262,262,262,262,262,262,262,262,262,0,262,262,262,262,262,262,0
3623,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3625,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3626,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3628,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3629,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3630,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3631,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3632,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3634,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3643,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3648,164,164,164,164,164,164,164,164,164,164,0,164,164,164,164,164,164,0
3653,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
3654,41,41,41,41,41,41,41,41,41,41,0,41,41,41,41,41,41,0
3657,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3658,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3659,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3660,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3661,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3662,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3663,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3670,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3671,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3673,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3674,177,177,177,177,177,177,177,177,177,177,0,177,177,177,177,177,177,0
3677,70,70,70,70,70,70,70,70,70,70,0,70,70,70,70,70,70,0
3678,19,19,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,0
3679,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,0
3681,13,13,13,13,13,13,13,13,13,13,0,13,13,13,13,13,13,0
3682,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,0
3683,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,18,0
3686,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
3691,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3692,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3695,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0
3696,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3697,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3698,8,8,8,8,8,2,8,8,8,8,0,8,8,8,8,8,8,0
3699,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3700,48,48,48,48,48,0,48,48,48,48,0,48,48,48,48,48,48,0
3703,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
3706,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
3709,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3710,418,418,418,418,418,418,418,418,418,418,0,418,418,418,418,418,418,0
3711,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,0
3712,111,111,111,111,111,111,111,111,111,111,0,111,111,111,111,111,111,0
3715,28,28,28,28,28,0,28,28,28,28,0,28,28,28,28,28,28,0
3716,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,0
3717,19,19,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,0
3718,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3721,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,0
3722,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
3723,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3724,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,0
3727,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0
3736,28,28,28,28,28,28,28,28,28,28,0,28,28,28,28,28,28,0
3737,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3739,40,40,40,40,40,39,40,40,40,40,0,40,40,40,40,40,40,0
3741,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3742,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0
3744,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,0,1585,1585,1585,1585,1585,1585,0
3747,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,0
3749,430,430,430,430,430,411,430,430,430,430,0,430,430,430,430,430,430,0
3751,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
3752,35,35,35,35,35,0,35,35,35,35,0,35,35,35,35,35,35,0
3753,600,600,600,600,600,600,600,600,600,600,0,600,600,600,600,600,600,0
3754,4,4,4,4,4,2,4,4,4,4,0,4,4,4,4,4,4,0
3755,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3757,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3758,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
3759,94,94,94,94,94,0,94,94,94,94,0,94,94,94,94,94,94,0
3760,110,110,110,110,110,110,110,110,110,110,0,110,110,110,110,110,110,0
3761,21,21,21,21,21,21,21,21,21,21,0,21,21,21,21,21,21,0
3762,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3765,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3767,257,257,257,257,257,257,257,257,257,257,0,257,257,257,257,257,257,0
3768,5,5,5,5,5,2,5,5,5,5,0,5,5,5,5,5,5,0
3770,97,97,97,97,97,97,97,97,97,97,0,97,97,97,97,97,97,0
3771,97,97,97,97,97,97,97,97,97,97,0,97,97,97,97,97,97,0
3772,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3773,254,254,254,254,254,254,254,254,254,254,0,254,254,254,254,254,254,0
3774,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
3775,349,349,349,349,349,349,349,349,349,349,0,349,349,349,349,349,349,0
3776,156,156,156,156,156,156,156,156,156,156,0,156,156,156,156,156,156,0
3777,115,115,115,115,115,115,115,115,115,115,0,115,115,115,115,115,115,0
3778,32,32,32,32,32,32,32,32,32,32,0,32,32,32,32,32,32,0
3779,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3780,19,19,19,19,19,12,19,19,19,19,0,19,19,19,19,19,19,0
3783,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3784,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3785,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3792,14,14,14,14,14,0,14,14,14,14,0,14,14,14,14,14,14,0
3795,23,23,23,23,23,0,23,23,23,23,0,23,23,23,23,23,23,0
3805,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3807,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3809,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3810,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3811,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3813,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,0
3815,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3817,520,520,520,520,520,520,520,520,520,520,0,520,520,520,520,520,520,0
3820,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3822,356,356,356,356,356,356,356,356,356,356,0,356,356,356,356,356,356,0
3823,3,3,3,3,3,1,3,3,3,3,0,3,3,3,3,3,3,0
3825,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3826,8,8,8,8,8,5,8,8,8,8,0,8,8,8,8,8,8,0
3828,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3830,14203,14203,14203,14203,14203,14203,14203,14203,14203,14203,0,14203,14203,14203,14203,14203,14203,0
3831,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3832,80,80,80,80,80,63,80,80,80,80,0,80,80,80,80,80,80,0
3833,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3834,821,821,821,821,821,821,821,821,821,821,0,821,821,821,821,821,821,0
3837,39,39,39,39,39,39,39,39,39,39,0,39,39,39,39,39,39,0
3839,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,0
3840,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0
3841,11,11,11,11,11,0,11,11,11,11,0,11,11,11,11,11,11,0
3845,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3850,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3851,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3852,9,9,9,9,9,0,9,9,9,9,0,9,9,9,9,9,9,0
3853,12,12,12,12,12,8,12,12,12,12,0,12,12,12,12,12,12,0
3856,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0
3857,3371,3371,3371,3371,3371,3371,3371,3371,3371,3371,0,3371,3371,3371,3371,3371,3371,0
3861,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,0
3862,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,18,0
3863,73,73,73,73,73,43,73,73,73,73,0,73,73,73,73,73,73,0
3864,330,330,330,330,330,330,330,330,330,330,0,330,330,330,330,330,330,0
3868,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
3869,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
3871,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3873,744,744,744,744,744,744,744,744,744,744,0,744,744,744,744,744,744,0
3874,222,222,222,222,222,222,222,222,222,222,0,222,222,222,222,222,222,0
3875,203,203,203,203,203,0,203,203,203,203,0,203,203,203,203,203,203,0
3876,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3877,549,549,549,549,549,80,549,549,549,549,0,549,549,549,549,549,549,0
3879,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3880,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3881,152,152,152,152,152,152,152,152,152,152,0,152,152,152,152,152,152,0
3884,118,118,118,118,118,118,118,118,118,118,0,118,118,118,118,118,118,0
3885,13,13,13,13,13,13,13,13,13,13,0,13,13,13,13,13,13,0
3888,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3891,20,20,20,20,20,0,20,20,20,20,0,20,20,20,20,20,20,0
3892,448,448,448,448,448,448,448,448,448,448,0,448,448,448,448,448,448,0
3893,419,419,419,419,419,419,419,419,419,419,0,419,419,419,419,419,419,0
3897,195,195,195,195,195,153,195,195,195,195,0,195,195,195,195,195,195,0
3899,340,340,340,340,340,340,340,340,340,340,0,340,340,340,340,340,340,0
3900,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3901,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0
3902,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3905,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3909,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3912,19,19,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,0
3913,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3914,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0
3915,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3921,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3923,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3924,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
3925,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
3927,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3931,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3932,436,436,436,436,436,436,436,436,436,436,0,436,436,436,436,436,436,0
3933,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,0
3934,283,283,283,283,283,283,283,283,283,283,0,283,283,283,283,283,283,0
3935,17515,17515,17515,17515,17515,17059,17515,17515,17515,17515,0,17515,17515,17515,17515,17515,17515,0
3936,13,13,13,13,13,8,13,13,13,13,0,13,13,13,13,13,13,0
3937,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0
3939,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3940,17,17,17,17,17,0,17,17,17,17,0,17,17,17,17,17,17,0
3942,27,27,27,27,27,1,27,27,27,27,0,27,27,27,27,27,27,0
3945,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3952,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,0,2189,2189,2189,2189,2189,2189,0
3953,37,37,37,37,37,8,37,37,37,37,0,37,37,37,37,37,37,0
3954,206,206,206,206,206,206,206,206,206,206,0,206,206,206,206,206,206,0
3957,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
