spaceIndex,spaceId,spaceSymbol,spaceAddress,proposalId,proposalTitle,proposalBody,proposalChoices,proposalStart,proposalStart.1,proposalEnd,proposalSanpshot,proposalAuth,proposalSpace,voteId,voteVoter,voteCreated,voteChoice,voteSpace
2849,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2852,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2855,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2857,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2859,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0
2860,12,12,12,12,12,0,12,12,12,12,0,12,12,12,12,12,12,0
2862,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,0
2863,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0
2864,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2866,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,0
2867,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2868,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2869,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2870,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2874,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0
2875,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2877,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
2880,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
2882,3,3,3,3,3,2,3,3,3,3,0,3,3,3,3,3,3,0
2883,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2884,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0
2891,8,8,8,8,8,0,8,8,8,8,0,8,8,8,8,8,8,0
2893,53,53,53,53,53,0,53,53,53,53,0,53,53,53,53,53,53,0
